dataset,method,model,attack_class,rank,feature,mean_abs_importance,n_samples
CIC_IIoT_2025,SHAP,RF,ddos,1,network_packets_dst_count,0.086037,424
CIC_IIoT_2025,SHAP,RF,ddos,2,network_interval_packets,0.071499,424
CIC_IIoT_2025,SHAP,RF,ddos,3,network_packets_all_count,0.069429,424
CIC_IIoT_2025,SHAP,RF,ddos,4,network_macs_all,0.062605,424
CIC_IIoT_2025,SHAP,RF,ddos,5,network_macs_src,0.050767,424
CIC_IIoT_2025,SHAP,RF,ddos,6,network_macs_src_count,0.046546,424
CIC_IIoT_2025,SHAP,RF,ddos,7,network_macs_dst_count,0.04439,424
CIC_IIoT_2025,SHAP,RF,ddos,8,network_macs_all_count,0.038645,424
CIC_IIoT_2025,SHAP,RF,ddos,9,network_packet_size_min,0.037835,424
CIC_IIoT_2025,SHAP,RF,ddos,10,network_ttl_min,0.026289,424
CIC_IIoT_2025,SHAP,RF,dos,1,network_interval_packets,0.097741,463
CIC_IIoT_2025,SHAP,RF,dos,2,network_packets_dst_count,0.095716,463
CIC_IIoT_2025,SHAP,RF,dos,3,network_packets_all_count,0.072184,463
CIC_IIoT_2025,SHAP,RF,dos,4,network_ports_all_count,0.043203,463
CIC_IIoT_2025,SHAP,RF,dos,5,network_macs_dst_count,0.040089,463
CIC_IIoT_2025,SHAP,RF,dos,6,network_macs_src,0.039588,463
CIC_IIoT_2025,SHAP,RF,dos,7,network_macs_src_count,0.039569,463
CIC_IIoT_2025,SHAP,RF,dos,8,network_ports_src_count,0.038164,463
CIC_IIoT_2025,SHAP,RF,dos,9,network_macs_all,0.033606,463
CIC_IIoT_2025,SHAP,RF,dos,10,network_packet_size_min,0.032911,463
CIC_IIoT_2025,SHAP,RF,mitm,1,network_ports_all_count,0.060037,76
CIC_IIoT_2025,SHAP,RF,mitm,2,network_interval_packets,0.05971,76
CIC_IIoT_2025,SHAP,RF,mitm,3,network_packets_dst_count,0.053841,76
CIC_IIoT_2025,SHAP,RF,mitm,4,network_packets_all_count,0.052523,76
CIC_IIoT_2025,SHAP,RF,mitm,5,network_ports_src_count,0.049975,76
