method,dl_model,cl_model,dataset,spearman_rho,p_value,agreement
SHAP,Transformer,DT,CIC_IIoT_2025,0.6959,0.0,MOD
SHAP,Transformer,LR,CIC_IIoT_2025,0.076,0.543931,LOW
SHAP,Transformer,RF,CIC_IIoT_2025,0.647,0.0,MOD
SHAP,Transformer,XGB,CIC_IIoT_2025,0.5171,9e-06,MOD
SHAP,LSTM,DT,CIC_IIoT_2025,0.403,0.000794,MOD
SHAP,LSTM,LR,CIC_IIoT_2025,0.1099,0.379866,LOW
SHAP,LSTM,RF,CIC_IIoT_2025,0.6394,0.0,MOD
SHAP,LSTM,XGB,CIC_IIoT_2025,0.3725,0.002069,LOW
LIME,Transformer,DT,CIC_IIoT_2025,0.5473,2e-06,MOD
LIME,Transformer,LR,CIC_IIoT_2025,0.1721,0.167119,LOW
LIME,Transformer,RF,CIC_IIoT_2025,0.4655,8.2e-05,MOD
LIME,Transformer,XGB,CIC_IIoT_2025,0.2174,0.079569,LOW
LIME,LSTM,DT,CIC_IIoT_2025,0.1415,0.257198,LOW
LIME,LSTM,LR,CIC_IIoT_2025,0.0302,0.810001,LOW
LIME,LSTM,RF,CIC_IIoT_2025,0.3007,0.01417,LOW
LIME,LSTM,XGB,CIC_IIoT_2025,0.1179,0.34586,LOW
SHAP,Transformer,DT,IDS2025_Balanced,0.2717,0.0428,LOW
SHAP,Transformer,LR,IDS2025_Balanced,-0.3176,0.017082,LOW
SHAP,Transformer,RF,IDS2025_Balanced,0.2772,0.038583,LOW
SHAP,Transformer,XGB,IDS2025_Balanced,0.1261,0.35437,LOW
SHAP,LSTM,DT,IDS2025_Balanced,0.1441,0.289384,LOW
SHAP,LSTM,LR,IDS2025_Balanced,-0.4127,0.001572,MOD
SHAP,LSTM,RF,IDS2025_Balanced,0.3912,0.002872,LOW
SHAP,LSTM,XGB,IDS2025_Balanced,0.0915,0.502626,LOW
LIME,Transformer,DT,IDS2025_Balanced,0.1974,0.144758,LOW
LIME,Transformer,LR,IDS2025_Balanced,0.0874,0.522052,LOW
LIME,Transformer,RF,IDS2025_Balanced,0.1584,0.243695,LOW
LIME,Transformer,XGB,IDS2025_Balanced,0.4442,0.000604,MOD
LIME,LSTM,DT,IDS2025_Balanced,0.0605,0.657854,LOW
LIME,LSTM,LR,IDS2025_Balanced,-0.0982,0.471403,LOW
LIME,LSTM,RF,IDS2025_Balanced,0.2703,0.043953,LOW
LIME,LSTM,XGB,IDS2025_Balanced,0.2628,0.050356,LOW
