model,dataset,class,precision,recall,f1,support
DT,CIC_IIoT_2025,benign,0.9819,0.9943,0.9881,20111
DT,CIC_IIoT_2025,bruteforce,0.9832,0.9669,0.9749,664
DT,CIC_IIoT_2025,ddos,0.9813,0.9778,0.9795,7734
DT,CIC_IIoT_2025,dos,0.9856,0.9816,0.9836,8316
DT,CIC_IIoT_2025,malware,0.9793,0.9753,0.9773,3394
DT,CIC_IIoT_2025,mitm,0.9705,0.9697,0.9701,3493
DT,CIC_IIoT_2025,recon,0.9847,0.9729,0.9788,12767
DT,CIC_IIoT_2025,web,1.0,0.9894,0.9947,1042
LR,CIC_IIoT_2025,benign,0.7966,0.9833,0.8802,20111
LR,CIC_IIoT_2025,bruteforce,0.5799,0.1913,0.2877,664
LR,CIC_IIoT_2025,ddos,0.7179,0.654,0.6844,7734
LR,CIC_IIoT_2025,dos,0.7162,0.7276,0.7219,8316
LR,CIC_IIoT_2025,malware,0.8192,0.6809,0.7437,3394
LR,CIC_IIoT_2025,mitm,0.6699,0.2788,0.3938,3493
LR,CIC_IIoT_2025,recon,0.9298,0.8501,0.8882,12767
LR,CIC_IIoT_2025,web,0.9226,0.9155,0.9191,1042
RF,CIC_IIoT_2025,benign,0.9846,0.991,0.9878,20111
RF,CIC_IIoT_2025,bruteforce,0.9939,0.9864,0.9902,664
RF,CIC_IIoT_2025,ddos,0.9888,0.9816,0.9852,7734
RF,CIC_IIoT_2025,dos,0.9919,0.9861,0.989,8316
RF,CIC_IIoT_2025,malware,0.9902,0.9826,0.9864,3394
RF,CIC_IIoT_2025,mitm,0.9868,0.984,0.9854,3493
RF,CIC_IIoT_2025,recon,0.978,0.9798,0.9789,12767
RF,CIC_IIoT_2025,web,1.0,0.9933,0.9966,1042
XGB,CIC_IIoT_2025,benign,0.9828,0.9982,0.9904,20111
XGB,CIC_IIoT_2025,bruteforce,0.9939,0.9895,0.9917,664
XGB,CIC_IIoT_2025,ddos,0.9901,0.9845,0.9873,7734
XGB,CIC_IIoT_2025,dos,0.9949,0.9862,0.9905,8316
XGB,CIC_IIoT_2025,malware,0.9973,0.9838,0.9905,3394
XGB,CIC_IIoT_2025,mitm,0.9877,0.9854,0.9865,3493
XGB,CIC_IIoT_2025,recon,0.9878,0.9774,0.9826,12767
XGB,CIC_IIoT_2025,web,0.9981,0.9933,0.9957,1042
DT,IDS2025_Balanced,benign,0.9918,0.9857,0.9888,3926
DT,IDS2025_Balanced,botnet ares,0.9964,0.9964,0.9964,281
DT,IDS2025_Balanced,brute force,1.0,1.0,1.0,1530
DT,IDS2025_Balanced,dos/ddos,0.987,0.9931,0.99,3899
DT,IDS2025_Balanced,infiltration,1.0,1.0,1.0,4
DT,IDS2025_Balanced,portscan,0.9997,0.9984,0.9991,3811
DT,IDS2025_Balanced,web attack,0.981,0.9968,0.9888,310
LR,IDS2025_Balanced,benign,0.66,0.4009,0.4988,3926
LR,IDS2025_Balanced,botnet ares,0.9487,0.1317,0.2313,281
LR,IDS2025_Balanced,brute force,0.9987,0.4902,0.6576,1530
LR,IDS2025_Balanced,dos/ddos,0.8571,0.7707,0.8116,3899
LR,IDS2025_Balanced,infiltration,0.3333,0.5,0.4,4
LR,IDS2025_Balanced,portscan,0.5562,0.9824,0.7103,3811
LR,IDS2025_Balanced,web attack,0.8309,0.9194,0.8729,310
RF,IDS2025_Balanced,benign,0.9964,0.988,0.9922,3926
RF,IDS2025_Balanced,botnet ares,1.0,0.9929,0.9964,281
RF,IDS2025_Balanced,brute force,1.0,1.0,1.0,1530
RF,IDS2025_Balanced,dos/ddos,0.9876,0.9972,0.9923,3899
RF,IDS2025_Balanced,infiltration,1.0,0.75,0.8571,4
RF,IDS2025_Balanced,portscan,1.0,0.9995,0.9997,3811
RF,IDS2025_Balanced,web attack,1.0,1.0,1.0,310
XGB,IDS2025_Balanced,benign,0.9982,0.988,0.9931,3926
XGB,IDS2025_Balanced,botnet ares,1.0,1.0,1.0,281
XGB,IDS2025_Balanced,brute force,1.0,1.0,1.0,1530
XGB,IDS2025_Balanced,dos/ddos,0.9878,0.9992,0.9935,3899
XGB,IDS2025_Balanced,infiltration,1.0,0.25,0.4,4
XGB,IDS2025_Balanced,portscan,1.0,0.9995,0.9997,3811
XGB,IDS2025_Balanced,web attack,1.0,1.0,1.0,310
