mean_actionability,std_actionability,median_actionability,pct_tier1_directly_actionable,pct_tier2_semi_actionable,pct_tier3_non_actionable,top_tier1_features,top_tier2_features,method,dataset,top_k,n_instances,nist_reference,model,n_aligned,sample_adequacy,n_per_method,random_act_baseline,margin_over_random,above_random
0.2423,0.0608,0.26,16.1,13.6,70.3,"['network_ports_all_count', 'network_tcp_flags_rst_count', 'network_tcp_flags_syn_count', 'network_tcp_flags_psh_count', 'network_tcp_flags_ack_count']","['network_packets_dst_count', 'network_packets_all_count', 'network_packets_src_count', 'log_data_types_count', 'log_interval_messages']",Anchors,CIC_IIoT_2025,10,200,NIST SP 800-94,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",0.2794,-0.037099999999999994,False
0.3958,0.0822,0.38,19.4,33.5,47.0,"['network_ports_all_count', 'network_tcp_flags_ack_count', 'network_tcp_flags_rst_count', 'network_ports_dst_count', 'network_fragmented_packets']","['network_header_length_min', 'network_packets_dst_count', 'network_header_length_max', 'network_header_length_avg', 'network_fragmentation_score']",LIME,CIC_IIoT_2025,10,200,NIST SP 800-94,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",0.2794,0.1164,True
0.2198,0.0567,0.22,11.3,17.8,70.9,"['network_ports_all_count', 'network_ports_src_count', 'network_tcp_flags_rst_count', 'network_tcp_flags_ack_count', 'network_ports_dst_count']","['network_packets_dst_count', 'network_packets_all_count', 'network_packets_src_count', 'log_data_ranges_avg', 'log_data_types_count']",SHAP,CIC_IIoT_2025,10,200,NIST SP 800-94,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}",0.2794,-0.059599999999999986,False
0.17,0.0865,0.16,8.0,15.0,77.0,"['network_ports_all_count', 'network_ports_src_count', 'network_tcp_flags_rst_count', 'network_fragmented_packets', 'network_ports_dst_count']","['network_fragmentation_score', 'network_packets_dst_count', 'log_data_ranges_avg', 'log_data_ranges_max', 'log_data_ranges_min']",Anchors,CIC_IIoT_2025,10,30,NIST SP 800-94,LR,30,minimal,"{'SHAP': 200, 'LIME': 200, 'Anchors': 30}",0.2794,-0.10939999999999997,False
0.3633,0.2091,0.32,24.3,20.0,55.7,"['network_ports_dst_count', 'network_tcp_flags_ack_count', 'network_fragmented_packets', 'network_tcp_flags_fin_count', 'network_tcp_flags_syn_count']","['network_packets_src_count', 'network_packets_all_count', 'network_fragmentation_score', 'log_data_types_count', 'network_packets_dst_count']",LIME,CIC_IIoT_2025,10,30,NIST SP 800-94,LR,30,minimal,"{'SHAP': 200, 'LIME': 200, 'Anchors': 30}",0.2794,0.08390000000000003,True
0.5927,0.0722,0.62,44.7,24.3,31.0,"['network_tcp_flags_rst_count', 'network_tcp_flags_fin_count', 'network_ports_all_count', 'network_tcp_flags_ack_count', 'network_tcp_flags_syn_count']","['network_packets_all_count', 'network_packets_dst_count', 'network_packets_src_count', 'log_data_ranges_min', 'log_data_ranges_max']",SHAP,CIC_IIoT_2025,10,30,NIST SP 800-94,LR,30,minimal,"{'SHAP': 200, 'LIME': 200, 'Anchors': 30}",0.2794,0.3133,True
0.2392,0.1764,0.28,17.6,10.4,71.9,"['network_ports_dst_count', 'network_ports_src_count', 'network_ports_all_count', 'network_tcp_flags_ack_count', 'network_tcp_flags_syn_count']","['network_packets_src_count', 'network_packets_dst_count', 'network_packets_all_count', 'network_header_length_max', 'network_header_length_avg']",Attention,CIC_IIoT_2025,10,200,NIST SP 800-94,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",0.2794,-0.040199999999999986,False
0.2337,0.1337,0.25,11.8,19.2,69.0,"['network_ports_all_count', 'network_ports_src_count', 'network_ports_dst_count', 'network_tcp_flags_psh_count', 'network_tcp_flags_syn_count']","['network_packets_dst_count', 'network_header_length_avg', 'network_header_length_min', 'network_packets_all_count', 'network_header_length_max']",IntegratedGradients,CIC_IIoT_2025,10,200,NIST SP 800-94,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",0.2794,-0.04569999999999999,False
0.3604,0.065,0.34,10.3,42.9,46.8,"['network_fragmented_packets', 'network_ports_all_count', 'network_tcp_flags_fin_count', 'network_ports_src_count', 'network_ports_dst_count']","['network_fragmentation_score', 'network_header_length_min', 'network_header_length_avg', 'log_messages_count', 'network_header_length_max']",LIME,CIC_IIoT_2025,10,200,NIST SP 800-94,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",0.2794,0.08100000000000002,True
0.2101,0.0885,0.22,8.9,20.1,71.0,"['network_ports_all_count', 'network_ports_dst_count', 'network_tcp_flags_syn_count', 'network_ports_src_count', 'network_tcp_flags_psh_count']","['network_packets_dst_count', 'network_packets_all_count', 'network_packets_src_count', 'log_data_types_count', 'log_messages_count']",SHAP,CIC_IIoT_2025,10,200,NIST SP 800-94,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}",0.2794,-0.06929999999999997,False
