feature,fic_score,in_top_k_count
source_port,1.0,3
destination_port,1.0,3
bwd_packet_length_min,1.0,3
min_packet_length,1.0,3
min_seg_size_forward,0.3333333333333333,2
init_win_bytes_backward,0.3333333333333333,2
fwd_packetss,0.3333333333333333,2
protocol,0.0,1
fwd_packet_length_max,0.0,1
fwd_packet_length_min,0.0,0
fwd_packet_length_std,0.0,0
fwd_packet_length_mean,0.0,1
bwd_packet_length_max,0.0,0
bwd_packet_length_mean,0.0,0
bwd_packet_length_std,0.0,0
fwd_iat_total,0.0,0
fwd_iat_mean,0.0,0
fwd_iat_std,0.0,0
fwd_iat_max,0.0,0
fwd_iat_min,0.0,1
total_backward_packets,0.0,1
total_length_of_fwd_packets,0.0,0
total_length_of_bwd_packets,0.0,0
total_fwd_packets,0.0,1
bwd_iat_max,0.0,0
bwd_iat_std,0.0,0
bwd_iat_mean,0.0,0
bwd_iat_total,0.0,0
bwd_header_length,0.0,0
fwd_header_length,0.0,1
bwd_iat_min,0.0,1
fwd_psh_flags,0.0,0
packet_length_mean,0.0,0
packet_length_std,0.0,0
packet_length_variance,0.0,0
fin_flag_count,0.0,1
syn_flag_count,0.0,0
psh_flag_count,0.0,1
bwd_packetss,0.0,1
max_packet_length,0.0,0
urg_flag_count,0.0,0
ack_flag_count,0.0,0
down_up_ratio,0.0,0
average_packet_size,0.0,0
avg_bwd_segment_size,0.0,0
avg_fwd_segment_size,0.0,0
init_win_bytes_forward,0.0,0
act_data_pkt_fwd,0.0,0
active_mean,0.0,0
active_std,0.0,1
active_max,0.0,0
active_min,0.0,0
idle_mean,0.0,0
idle_std,0.0,0
idle_max,0.0,0
idle_min,0.0,0
