flip_rate,deletion_auc,spearman_rho,random_flip_rate,incremental_flip_rate,perturbation_strategy,ks_pass_rate_pct,ks_validated,method,dataset,top_k,n_instances,model,n_aligned,sample_adequacy,n_per_method
0.415,0.0559,0.091,0.05,0.365,distribution_preserving,100.0,True,IntegratedGradients,CIC_IIoT_2025,10,200,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}"
0.825,0.0551,0.1802,0.05,0.775,distribution_preserving,95.5,True,SHAP,CIC_IIoT_2025,10,200,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}"
0.63,0.0482,0.1167,0.02,0.61,distribution_preserving,98.5,True,LIME,CIC_IIoT_2025,10,200,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}"
0.625,0.0579,0.0996,0.03,0.595,distribution_preserving,95.5,True,Attention,CIC_IIoT_2025,10,200,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}"
0.73,0.1598,-0.199,0.26,0.47,distribution_preserving,100.0,True,SHAP,CIC_IIoT_2025,10,200,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.87,0.0964,-0.0875,0.26,0.61,distribution_preserving,95.5,True,LIME,CIC_IIoT_2025,10,200,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.75,0.1009,0.0445,0.23,0.52,distribution_preserving,98.5,True,Anchors,CIC_IIoT_2025,10,200,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.74,0.4532,0.5909,0.005,0.735,distribution_preserving,100.0,True,SHAP,CIC_IIoT_2025,10,200,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.615,0.4205,0.4034,0.005,0.61,distribution_preserving,95.5,True,LIME,CIC_IIoT_2025,10,200,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.12,0.2995,0.1863,0.02,0.1,distribution_preserving,98.5,True,Anchors,CIC_IIoT_2025,10,200,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}"
0.83,0.0767,0.1716,0.12,0.71,distribution_preserving,100.0,True,SHAP,CIC_IIoT_2025,10,200,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}"
0.485,0.0382,0.09,0.095,0.39,distribution_preserving,95.5,True,LIME,CIC_IIoT_2025,10,200,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}"
0.285,0.0431,0.0398,0.11,0.175,distribution_preserving,98.5,True,IntegratedGradients,CIC_IIoT_2025,10,200,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}"
0.135,0.0157,0.0276,0.075,0.06,distribution_preserving,95.5,True,Attention,CIC_IIoT_2025,10,200,LSTM,200,limited,"{'SHAP': 200, 'LIME': 200, 'IntegratedGradients': 500, 'Attention': 1000}"
0.89,0.0259,0.1072,0.295,0.595,distribution_preserving,100.0,True,SHAP,CIC_IIoT_2025,10,200,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}"
0.555,0.0145,0.0352,0.28,0.275,distribution_preserving,95.5,True,Anchors,CIC_IIoT_2025,10,200,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}"
0.765,0.0348,0.087,0.27,0.495,distribution_preserving,98.5,True,LIME,CIC_IIoT_2025,10,200,DT,200,limited,"{'SHAP': 1000, 'Anchors': 200, 'LIME': 1000}"
0.6667,0.1583,0.2569,0.0667,0.6,distribution_preserving,100.0,True,SHAP,CIC_IIoT_2025,10,30,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}"
0.3333,0.1154,0.1433,0.1333,0.2,distribution_preserving,97.0,True,Anchors,CIC_IIoT_2025,10,30,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}"
0.6,0.081,0.0992,0.1,0.5,distribution_preserving,95.5,True,LIME,CIC_IIoT_2025,10,30,XGB,30,minimal,"{'SHAP': 1000, 'Anchors': 30, 'LIME': 1000}"
0.08,0.2089,0.5183,0.0133,0.0667,distribution_preserving,96.4,True,SHAP,IDS2025_Balanced,10,300,RF,1000,full,"{'SHAP': 1000, 'LIME': 1000}"
0.0433,0.1538,0.097,0.0167,0.0267,distribution_preserving,98.2,True,LIME,IDS2025_Balanced,10,300,RF,1000,full,"{'SHAP': 1000, 'LIME': 1000}"
0.38,0.0665,0.0223,0.1,0.28,distribution_preserving,96.4,True,LIME,IDS2025_Balanced,10,50,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}"
0.56,0.1206,0.0958,0.08,0.48,distribution_preserving,92.9,True,SHAP,IDS2025_Balanced,10,50,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}"
0.36,0.0739,0.0501,0.12,0.24,distribution_preserving,98.2,True,IntegratedGradients,IDS2025_Balanced,10,50,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}"
0.16,0.0422,-0.0244,0.08,0.08,distribution_preserving,98.2,True,Attention,IDS2025_Balanced,10,50,Transformer,50,minimal,"{'LIME': 50, 'SHAP': 50, 'IntegratedGradients': 500, 'Attention': 1000}"
0.7733,0.1755,-0.1421,0.39,0.3833,distribution_preserving,96.4,True,SHAP,IDS2025_Balanced,10,300,LR,1000,full,"{'SHAP': 1000, 'LIME': 1000}"
0.7333,0.1994,-0.1049,0.45,0.2833,distribution_preserving,98.2,True,LIME,IDS2025_Balanced,10,300,LR,1000,full,"{'SHAP': 1000, 'LIME': 1000}"
0.22,0.0631,0.0256,0.12,0.1,distribution_preserving,96.4,True,LIME,IDS2025_Balanced,10,50,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}"
0.24,0.0674,0.0295,0.08,0.16,distribution_preserving,92.9,True,Attention,IDS2025_Balanced,10,50,LSTM,50,minimal,"{'LIME': 50, 'Attention': 1000, 'SHAP': 50, 'IntegratedGradients': 500}"
