model,dataset,global_fic,n_consensus_features,mean_instance_fic,IntegratedGradients_SHAP,IntegratedGradients_LIME,IntegratedGradients_Attention,SHAP_LIME,SHAP_Attention,LIME_Attention,SHAP_Anchors,LIME_Anchors,SHAP_IntegratedGradients,LIME_IntegratedGradients,Anchors_LIME,LIME_SHAP,Attention_SHAP,Attention_IntegratedGradients,Anchors_SHAP
Transformer,CIC_IIoT_2025,0.4131,2,0.2539,0.5309,0.4823,0.3682,0.4502,0.4803,0.1665,,,,,,,,,
LR,CIC_IIoT_2025,0.4542,4,0.2649,,,,0.7222,,,0.3878,0.2526,,,,,,,
RF,CIC_IIoT_2025,0.5813,6,0.3449,,,,0.6956,,,0.7061,0.3421,,,,,,,
LSTM,CIC_IIoT_2025,0.0429,0,0.0569,,,-0.044,0.2257,0.0692,-0.4431,,,0.4499,-0.0002,,,,,
DT,CIC_IIoT_2025,0.3454,3,0.1324,,,,0.4382,,,0.5294,,,,0.0686,,,,
XGB,CIC_IIoT_2025,0.2514,2,0.2025,,,,0.4546,,,0.2327,,,,0.067,,,,
RF,IDS2025_Balanced,0.5215,3,0.3333,,,,0.5215,,,,,,,,,,,
Transformer,IDS2025_Balanced,0.4802,2,0.1136,,,0.4668,,0.4647,0.1116,,,0.8772,0.4517,,0.509,,,
LR,IDS2025_Balanced,0.677,7,0.4681,,,,0.677,,,,,,,,,,,
LSTM,IDS2025_Balanced,0.2854,3,0.1323,,,,,,0.4638,,,0.7835,0.2483,,0.1747,-0.0863,0.1284,
XGB,IDS2025_Balanced,0.3146,4,0.1963,,,,0.4269,,,,,,,0.258,,,,0.259
DT,IDS2025_Balanced,0.3264,3,0.1785,,,,0.5043,,,0.2566,0.2183,,,,,,,
