feature,fic_score,in_top_k_count
network_tcp_flags_ack_count,1.0,3
network_tcp_flags_rst_count,1.0,3
network_packets_dst_count,1.0,3
network_packets_all_count,1.0,3
network_ports_all_count,0.3333333333333333,2
network_tcp_flags_fin_count,0.3333333333333333,2
network_packet_size_max,0.3333333333333333,2
network_fragmented_packets,0.3333333333333333,2
network_protocols_dst_count,0.0,0
network_ttl_avg,0.0,0
network_tcp_flags_std_deviation,0.0,0
network_tcp_flags_min,0.0,1
network_tcp_flags_max,0.0,0
network_tcp_flags_avg,0.0,1
network_tcp_flags_syn_count,0.0,0
network_tcp_flags_psh_count,0.0,1
network_protocols_src_count,0.0,0
network_ttl_max,0.0,0
network_protocols_dst,0.0,0
network_protocols_all,0.0,0
network_ports_src,0.0,0
network_ports_dst,0.0,1
network_ports_all,0.0,0
network_macs_src,0.0,0
network_macs_dst,0.0,0
network_ttl_min,0.0,0
log_data_types,0.0,0
device_mac,0.0,0
device_name,0.0,0
network_window_size_std_deviation,0.0,0
network_window_size_min,0.0,1
network_window_size_max,0.0,0
network_window_size_avg,0.0,0
network_ttl_std_deviation,0.0,0
log_data_ranges_avg,0.0,0
network_header_length_avg,0.0,1
network_protocols_src,0.0,0
log_data_ranges_min,0.0,0
log_data_ranges_std_deviation,0.0,0
log_data_types_count,0.0,0
log_interval_messages,0.0,0
log_messages_count,0.0,0
network_fragmentation_score,0.0,0
log_data_ranges_max,0.0,0
network_header_length_max,0.0,1
network_header_length_min,0.0,1
network_interval_packets,0.0,0
network_macs_all_count,0.0,0
network_macs_dst_count,0.0,0
network_ports_dst_count,0.0,0
network_mss_avg,0.0,0
network_mss_max,0.0,0
network_mss_min,0.0,0
network_mss_std_deviation,0.0,0
network_packet_size_avg,0.0,0
network_packet_size_min,0.0,0
network_packet_size_std_deviation,0.0,0
network_packets_src_count,0.0,1
network_payload_length_avg,0.0,0
network_payload_length_max,0.0,0
network_payload_length_min,0.0,0
network_payload_length_std_deviation,0.0,0
network_macs_all,0.0,0
network_ports_src_count,0.0,1
network_protocols_all_count,0.0,0
network_macs_src_count,0.0,0
